subject,count
Eiffel Tower (France),0
Colosseum (Italy),0
Taj Mahal (India),0
Great Wall of China (China),0
Pyramids of Giza (Egypt),0
Statue of Liberty (USA),0
Empire State Building (USA),0
Sydney Opera House (Australia),0
Big Ben/Elizabeth Tower (UK),0
Burj Khalifa (UAE),0
Leaning Tower of Pisa (Italy),0
Sagrada Familia (Spain),1
Louvre Museum (France),0
Notre-Dame Cathedral (France),0
Parthenon (Greece),0
Machu Picchu (Peru),0
Petra (Jordan),0
Hagia Sophia (Turkey),0
Stonehenge (UK),0
Palace of Versailles (France),0
Forbidden City (China),0
Kremlin and Red Square (Russia),0
Alhambra (Spain),0
Buckingham Palace (UK),0
Saint Basil’s Cathedral (Russia),0
Lincoln Memorial (USA),0
White House (USA),0
Golden Gate Bridge (USA),0
Angkor Wat (Cambodia),0
Chichen Itza (Mexico),0
Shwedagon Pagoda (Myanmar),0
Brandenburger Tor (Germany),0
Neuschwanstein Castle (Germany),0
Tokyo Tower (Japan),0
Tokyo Skytree (Japan),0
Petronas Towers (Malaysia),0
Marina Bay Sands (Singapore),0
CN Tower (Canada),0
Casa Batlló (Spain),0
Guggenheim Museum Bilbao (Spain),0
Pantheon (Italy),0
Westminster Abbey (UK),1
Florence Cathedral (Italy),0
St. Peter’s Basilica (Vatican City),0
Edinburgh Castle (UK),0
Tower Bridge (UK),1
Chartres Cathedral (France),1
Mont-Saint-Michel (France),0
Dubai Frame (UAE),0
Burj Al Arab (UAE),0
Sheikh Zayed Grand Mosque (UAE),0
Louvre Abu Dhabi (UAE),0
Zayed National Museum (UAE) ,0
Guggenheim Museum Abu Dhabi (UAE) ,0
Elbphilharmonie (Germany),0
Reichstag Building (Germany),0
Berlin TV Tower (Germany),0
Palace of Westminster (UK),0
Christ the Redeemer (Brazil),0
National Congress of Brazil (Brazil),0
Moai (Easter Island,0
Palace Museum (Taiwan),0
Taipei 101 (Taiwan),0
Marina Bay Sands (Singapore),0
The Shard (UK),0
Lloyd's Building (UK),0
Royal Albert Hall (UK),0
Chrysler Building (USA),0
Space Needle (USA),0
One World Trade Center (USA),0
Rockefeller Center (USA),0
United Nations HQ (USA),0
Flatiron Building (USA),0
Shanghai Tower (China),0
Bank of China Tower (China),0
Canton Tower (China),0
Jin Mao Tower (China),0
CCTV Headquarters (China),0
Summer Palace (China),0
Osaka Castle (Japan),0
Dome of the Rock (Israel),0
Western Wall (Israel),0
Al-Aqsa Mosque (Israel/Palestine),0
Blue Mosque (Turkey),0
Topkapi Palace (Turkey),0
Grand Palace (Thailand),0
Wat Arun (Thailand),0
Lotus Temple (India),0
Qutub Minar (India),0
Victoria Memorial (India),0
Gateway of India (India),0
Basilica di San Marco (Italy),0
Duomo di Milano (Italy),0
Basilica of the Sacred Heart (France),0
Willis (Sears) Tower (USA),0
Solomon R. Guggenheim Museum (USA),0
Metropolitan Museum of Art (USA),0
Palace of Culture and Science (Poland),0
Oslo Opera House (Norway),0
# ##############,0
# Iran,0
Persepolis (Iran),0
Azadi Tower (Iran),0
Chehel Sotoon Palace (Iran),0
Falak-ol-Aflak Castle (Iran),0
