subject,count
# created by chatgpt,0
# Home,0
Toothbrush,0
Toothpaste,1
Towel,1
Shampoo,0
Soap,0
Comb,0
Hairbrush,0
Mirror,0
Razor,1
Toilet paper,0
Shower curtain,0
Bed,0
Pillow,0
Blanket,0
Mattress,0
Alarm clock,0
Lamp,1
Television,0
Remote control,1
Sofa,0
Chair,1
Table,0
Refrigerator,0
Microwave,0
Stove ,0
Cooker,1
Oven,0
Kettle,0
Toaster,0
Blender,0
Coffee maker,0
Dish rack,0
Dishes ,1
Plates,0
Bowls,0
Cups ,1
Mugs,1
Glasses,0
Spoons,1
Forks,0
Knives,0
Cooking pots,0
Frying pan,0
Trash can,0
Broom,0
Mop,0
Vacuum cleaner,1
Laundry basket,0
Washing machine,1
Dryer,1
Iron,1
Ironing board,0
Clothes hanger,0
Light bulb,0
# ####################,0
# work,0
Laptop,0
Desktop computer,0
Monitor,0
Mouse,0
Keyboard,1
Printer,0
Scanner,0
USB drive,1
Charging cable,0
Power strip,1
Desk,0
Office chair,0
Notebook,0
Pen,0
Pencil,1
Eraser,0
Highlighter,0
Stapler,0
Paper clips,0
Tape dispenser,0
Sticky notes,0
Whiteboard,1
Whiteboard marker,1
Calculator,0
File folder,1
Envelopes,0
Ruler,0
Scissors,0
Calendar,0
Clock,1
# ####################,0
# Other Common Places & On-the-Go Items,0
Smartphone,0
Wallet,0
Keys,0
Sunglasses,0
Headphones ,0
Earbuds,0
Water bottle,0
Backpack ,0
Hand bag,0
Umbrella,0
Face mask,0
Hand sanitizer,1
Tissue pack,1
Car,1
Bike,0
Helmet,0
Flashlight,0
First aid kit,0
Book,0
Pen drive,0
ID card,0
Charger ,1
Power bank,0
