subject,count
# ##########,0
# France,0
Paris (France),0
# ##########,0
#  United States,0
New York (United States),0
San Francisco (United States),0
Los Angeles (United States),0
Miami (United States),0
Seattle (United States),0
Boston (United States),0
Austin (United States),0
Chicago (United States),0
San Antonio (United States),0
Las Vegas (United States),0
Niagara Falls (United States),0
# ##########,0
#  Japan,0
Tokyo (Japan),0
Kyoto (Japan),0
Osaka (Japan),0
# ##########,0
#  United Kingdom,0
London (United Kingdom),0
Edinburgh (United Kingdom),0
Oxford (United Kingdom),0
Glasgow (United Kingdom),0
# ##########,0
#  Italy,0
Rome (Italy),0
Milan (Italy),0
Florence (Italy),0
Verona (Italy),0
Bologna (Italy),0
# ##########,0
#  Turkey,0
Istanbul (Turkey),0
Antalya (Turkey),0
# ##########,0
#  China,0
Beijing (China),0
Hong Kong (China),0
Shanghai (China),0
Nanjing (China),0
# ##########,0
#  Brazil,0
Rio de Janeiro (Brazil),0
# ##########,0
#  Australia,0
Sydney (Australia),0
Melbourne (Australia),0
Brisbane (Australia),0
# ##########,0
#  United Arab Emirates,0
Dubai (United Arab Emirates),0
Abu Dhabi (United Arab Emirates),0
# ##########,0
#  Spain,0
Barcelona (Spain),0
Madrid (Spain),0
Valencia (Spain),0
Granada (Spain),0
Palma de Mallorca (Spain),0
# ##########,0
#  South Korea,0
Seoul (South Korea),0
# ##########,0
#  Germany,0
Berlin (Germany),0
Munich (Germany),0
# ##########,0
#  Egypt,0
Cairo (Egypt),0
# ##########,0
#  India,0
Mumbai (India),0
New Delhi (India),0
# ##########,0
#  Russia,0
Moscow (Russia),0
St. Petersburg (Russia),0
# ##########,0
#  Argentina,0
Buenos Aires (Argentina),0
# ##########,0
#  South Africa,0
Cape Town (South Africa),0
Johannesburg (South Africa),0
# ##########,0
#  Netherlands,0
Amsterdam (Netherlands),0
Rotterdam (Netherlands),0
# ##########,0
#  Mexico,0
Mexico City (Mexico),0
# ##########,0
#  Czech Republic,0
Prague (Czech Republic),0
# ##########,0
#  Thailand,0
Bangkok (Thailand),0
# ##########,0
#  Canada,0
Toronto (Canada),0
Montreal (Canada),0
Vancouver (Canada),0
Niagara Falls (Canada),0
Quebec City (Canada),0
# ##########,0
#  Greece,0
Athens (Greece),1
# ##########,0
#  Singapore,0
Singapore (Singapore),0
# ##########,0
#  Ireland,0
Dublin (Ireland),0
# ##########,0
#  Austria,0
Vienna (Austria),0
Salzburg (Austria),0
# ##########,0
#  Hungary,0
Budapest (Hungary),0
# ##########,0
#  Malaysia,0
Kuala Lumpur (Malaysia),0
# ##########,0
#  Poland,0
Warsaw (Poland),0
# ##########,0
#  Israel,0
Tel Aviv (Israel),0
# ##########,0
#  Belgium,0
Brussels (Belgium),0
Antwerp (Belgium),0
# ##########,0
#  Finland,0
Helsinki (Finland),0
# ##########,0
#  Sweden,0
Stockholm (Sweden),0
# ##########,0
#  Denmark,0
Copenhagen (Denmark),0
# ##########,0
#  Norway,0
Oslo (Norway),0
# ##########,0
#  Switzerland,0
Zurich (Switzerland),0
Geneva (Switzerland),0
# ##########,0
#  Chile,0
Santiago (Chile),0
# ##########,0
#  Morocco,0
Marrakech (Morocco),0
Casablanca (Morocco),0
# ##########,0
#  New Zealand,0
Auckland (New Zealand),0
# ##########,0
#  Portugal,0
Lisbon (Portugal),0
Porto (Portugal),1
# ##########,0
#  Peru,0
Lima (Peru),0
# ##########,0
#  Qatar,0
Doha (Qatar),0
# ##########,0
#  Colombia,0
Bogota (Colombia),0
# ##########,0
#  Venezuela,0
Caracas (Venezuela),0
# ##########,0
#  Lebanon,0
Beirut (Lebanon),0
# ##########,0
#  Monaco,0
Monaco (Monaco),0
E# ##########,0
#  stonia,0
Tallinn (Estonia),0
# ##########,0
#  France,0
Lyon (France),0
Strasbourg (France),0
# ##########,0
#  Slovenia,0
Ljubljana (Slovenia),0
# ##########,0
#  Croatia,0
Split (Croatia),0
# ##########,0
#  Vietnam,0
Ho Chi Minh City (Vietnam),0
# ##########,0
#  Iran,0
Tehran (Iran),0
Esfahan (Iran),0
Shiraz (Iran),0
Kerman (Iran),1
